Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-88.0,23.0,110.12808435162763,-32.06774224274842,856.9019484722652,220.33169536995632,-263.9046396556499,-25.53734490936715
-88.0,24.0,110.00059383355278,-34.692109689119434,856.1538995152782,227.50706398335996,-265.1418020992931,-26.90689988236578
-88.0,25.0,109.91604982134068,-37.42179515417296,855.5937913960051,234.58649510513135,-266.64471683942827,-28.332315258600865
-88.0,26.0,109.86658129233912,-40.24150618850652,855.2231821045868,241.5064644691165,-268.40718614634216,-29.84049992495333
-88.0,27.0,109.83765751508832,-43.12111098881064,855.03485856636,248.2249649716597,-270.41062725662783,-31.447884654027376
-88.0,28.0,109.80863797827456,-46.02295590161524,855.0087458516776,254.73523923253083,-272.62437333987305,-33.155011485413745
-88.0,29.0,109.75504240314676,-48.90765631531576,855.1077873719724,261.06814242649284,-275.00657115124613,-34.944922247359706
-88.0,30.0,109.65213511040623,-51.74046037780039,855.2752515882677,267.27583898034,-277.5058622456627,-36.7870035462579
-88.0,31.0,109.47832783836812,-54.50271836464646,855.4343304532778,273.40088156922207,-280.0637340703751,-38.64522122334528
-88.0,32.0,109.2166370099896,-57.20110665250182,855.48995262582,279.44543145841783,-282.6171664261812,-40.486870659972446
-88.0,33.0,108.85343538622362,-59.86407393782304,855.3321444679456,285.3544968482924,-285.10122841124775,-42.28810809408036
-88.0,34.0,108.37537857709084,-62.52835634562787,854.8404676611668,291.01405224848367,-287.4515652789061,-44.035729617515
-88.0,35.0,107.76660759493632,-65.22201690581979,853.8897016931564,296.2610983398708,-289.60691244422526,-45.72666981488324
-88.0,36.0,107.008617824805,-67.95259839468046,852.3577171740817,300.9076051100077,-291.5117896363089,-47.366838568180434
-88.0,37.0,106.08404888577992,-70.71093235872294,850.1365536744524,304.77923705001405,-293.11942023528536,-48.970215296828016
-88.0,38.0,104.9831498587221,-73.48403184348273,847.1460892748291,307.7589008857682,-294.3945797442549,-50.55767180133374
-88.0,39.0,103.70970189698394,-76.26322189530065,843.3470943375613,309.8172409169225,-295.3155204525112,-52.15494103487876
-88.0,40.0,102.2835104507996,-79.0430877278897,838.7494983067187,311.0161218764107,-295.8740128060546,-53.79034272403109
-88.0,41.0,100.73884454238654,-81.81558455901468,833.4142146507293,311.48544588161354,-296.0734352593771,-55.49241734794404
-88.0,42.0,99.12002979361615,-84.56560583436323,827.4482151549686,311.3832581408794,-295.9256114178292,-57.28669182651253
-88.0,43.0,97.4754949943222,-87.273020908736,820.9911455248607,310.8487201579037,-295.44686945364066,-59.19143417612965
-88.0,44.0,95.85107798163598,-89.91951240861536,814.1929270407619,309.96050930155707,-294.6533702630172,-61.21379143189695
-88.0,45.0,94.2833480614526,-92.49474046434798,807.1843275674105,308.7208920549362,-293.5558055997359,-63.34867233623821
